name,x86_64-linux,aarch64-linux,x86_64-darwin,aarch64-darwin
linuxKernel.packages.linux_xanmod_stable.lttng-modules,324524787,,,
linuxKernel.packages.linux_xanmod_stable.mbp2018-bridge-drv,324524788,,,
linuxKernel.packages.linux_xanmod_stable.odp-dpdk,324524807,,,
linuxKernel.packages.linux_xanmod_stable.opensnitch-ebpf,324524809,,,
linuxKernel.packages.linux_xanmod_stable.tsme-test,324524842,,,
linuxKernel.packages.linux_xanmod_stable.virtualbox,324524853,,,
linuxKernel.packages.linux_xanmod_stable.virtualboxGuestAdditions,324524869,,,
linuxKernel.packages.linux_xanmod_stable.vmm_clock,324524856,,,
linuxPackages.mbp2018-bridge-drv,324525092,324525088,,
linuxPackages.vmm_clock,324525195,,,
linuxPackages_latest.amneziawg,324525374,324525225,,
linuxPackages_latest.lkrg,324525301,324525300,,
linuxPackages_latest.mbp2018-bridge-drv,,324525304,,
linuxPackages_latest.msi-ec,,324525309,,
linuxPackages_latest.opensnitch-ebpf,,324525341,,
linuxPackages_latest.tsme-test,324525387,,,
linuxPackages_latest.virtualboxGuestAdditions,324525409,,,
linuxPackages_xanmod.lttng-modules,324525481,,,
linuxPackages_xanmod.mbp2018-bridge-drv,324525482,,,
linuxPackages_xanmod.odp-dpdk,324525500,,,
linuxPackages_xanmod.vmm_clock,324525553,,,
linuxPackages_xanmod_latest.amneziawg,324525567,,,
linuxPackages_xanmod_latest.apfs,324525570,,,
linuxPackages_xanmod_latest.drbd,324525590,,,
linuxPackages_xanmod_latest.lkrg,324525615,,,
linuxPackages_xanmod_latest.lttng-modules,324525617,,,
linuxPackages_xanmod_latest.mbp2018-bridge-drv,324525621,,,
linuxPackages_xanmod_latest.opensnitch-ebpf,324525639,,,
linuxPackages_xanmod_latest.tsme-test,324525671,,,
linuxPackages_xanmod_latest.virtualbox,324525726,,,
linuxPackages_xanmod_latest.virtualboxGuestAdditions,324525986,,,
linuxPackages_xanmod_latest.vmm_clock,324525684,,,
linuxPackages_xanmod_stable.amneziawg,324525890,,,
linuxPackages_xanmod_stable.apfs,324525703,,,
linuxPackages_xanmod_stable.drbd,324525722,,,
linuxPackages_xanmod_stable.lkrg,324525749,,,
linuxPackages_xanmod_stable.lttng-modules,324525750,,,
linuxPackages_xanmod_stable.mbp2018-bridge-drv,324525754,,,
linuxPackages_xanmod_stable.opensnitch-ebpf,324525782,,,
linuxPackages_xanmod_stable.tsme-test,324525805,,,
linuxPackages_xanmod_stable.virtualbox,324525817,,,
linuxPackages_xanmod_stable.virtualboxGuestAdditions,324525823,,,
linuxPackages_xanmod_stable.vmm_clock,324525821,,,
linuxPackages_zen.vmm_clock,324525952,,,
litemdview,324526092,,,
lixPackageSets.git.lix,,,324526188,324526250
llvmPackages_22.compiler-rt-no-libc,,324527460,,
llvmPackages_22.libc-overlay,324527477,,,
llvmPackages_22.libc,324527478,324527464,,
lnx,324527635,,,
loadwatch,324527640,324527638,,
localproxy,324527656,324527654,,
lua55Packages.luaossl,324531272,,,
lunatic,324533087,,,
macopix,324533453,324533451,,
makehuman,,324533700,,
mcrypt,,324534795,,
mediaelch-qt5,324535075,324535074,,
meshtastic,,324535541,,
meshtasticd,,324535523,,
meteor,324535469,,,
mftrace,324535527,,,
midicsv,324535645,,,
migrate,324535654,324535656,,
mikmod,,324535665,,
mini-httpd,324535773,324535772,,
miranda,,324536051,,
mlkit,,324536311,324536314,
mlt,,,324536330,324536327
mlton20130715,324536329,,,
mlvwm,,324536355,,
moshi,,324537045,,
mpage,,324537186,,
mpd-touch-screen-gui,,324537222,,
mplayer,,,,324537342
mrtg,324537653,,,
mrustc,324537657,,,
mspds,,324537759,,
mtx,,324537833,,
mudlet,324537878,324537868,,
musly,324538065,,,
mytetra,324538271,,,
nabi,324538312,324538311,,
nbench,324538624,,,
ndn-cxx,324538754,324538753,,
