id,status,name,system
58483822,F,gprolog,aarch64-linux
58493284,D,gpshell,x86_64-darwin
58513753,D,gqrx,x86_64-linux
58475803,D,grantlee,aarch64-linux
58477294,D,grantlee,x86_64-darwin
58530524,D,grass,x86_64-darwin
58482114,F,gravit,aarch64-linux
58485948,D,grib-api,x86_64-darwin
58498842,D,gromacsDoubleMpi,aarch64-linux
58486858,D,gromacsDoubleMpi,x86_64-darwin
58482211,D,gromacsMpi,aarch64-linux
58468170,D,gromacsMpi,x86_64-darwin
58498245,D,grub2_pvgrub_image,aarch64-linux
58471027,F,grub2_xen,aarch64-linux
58495709,F,gsl,aarch64-linux
58490092,F,gst_all_1.gstreamermm,x86_64-darwin
58494982,D,gtk-server,aarch64-linux
58493670,D,gtk-sharp-2_0,aarch64-linux
58476096,D,gtk-sharp-3_0,aarch64-linux
58499739,D,gtk-sharp-beans,aarch64-linux
58485986,D,gtkd,aarch64-linux
58492975,F,guile-xcb,aarch64-linux
58471898,F,guile-xcb,x86_64-linux
58494593,D,guileCairo,aarch64-linux
58474747,D,guileCairo,x86_64-linux
58483572,D,guileGnome,aarch64-linux
58489160,D,guileGnome,x86_64-linux
58494745,F,guile_lib,aarch64-linux
58489373,F,guile_lib,x86_64-linux
58483797,D,guitone,x86_64-darwin
58471716,D,guvcview,aarch64-linux
58481417,D,gwenhywfar,aarch64-linux
58478534,D,gwrap,aarch64-linux
58472744,D,gwrap,x86_64-linux
58513995,D,habitat-sh,x86_64-linux
58513500,F,habitat,x86_64-darwin
58514204,F,habitat,x86_64-linux
58470962,F,haka,aarch64-linux
58474918,F,handbrake,aarch64-linux
58469561,F,handbrake,x86_64-linux
58492581,F,hardinfo,aarch64-linux
58498859,F,hashcat,aarch64-linux
58480882,F,haskell.compiler.ghc6104,x86_64-linux
58513971,F,haskell.compiler.ghcHaLVM240,x86_64-linux
58486883,D,haskell.compiler.ghcjs,x86_64-darwin
58499152,D,haskell.compiler.ghcjs,x86_64-linux
58491762,F,haskell.compiler.ghcjsHEAD,x86_64-darwin
58476391,F,haskell.compiler.ghcjsHEAD,x86_64-linux
58488961,F,haskell.compiler.integer-simple.ghc7102,x86_64-darwin
58493001,F,haskell.compiler.integer-simple.ghc742,x86_64-darwin
58469841,F,haskell.compiler.integer-simple.ghc742,x86_64-linux
58485990,F,haskell.compiler.integer-simple.ghc783,x86_64-linux
58513552,F,haskell.compiler.integer-simple.ghcHaLVM240,x86_64-linux
58484982,D,haskell.compiler.jhc,x86_64-linux
58468113,F,haskell.compiler.uhc,x86_64-linux
58497649,D,haskellPackages.ALUT,x86_64-darwin
58479420,D,haskellPackages.BlastHTTP,x86_64-darwin
58480348,D,haskellPackages.BlogLiterately-diagrams,x86_64-darwin
58475396,D,haskellPackages.BlogLiterately,x86_64-darwin
58495582,D,haskellPackages.DAV,x86_64-darwin
58495214,D,haskellPackages.EntrezHTTP,x86_64-darwin
58482355,D,haskellPackages.EtaMOO,x86_64-darwin
58473790,F,haskellPackages.FractalArt,x86_64-darwin
58470128,F,haskellPackages.GLFW,x86_64-darwin
58500463,F,haskellPackages.GLHUI,x86_64-darwin
58479299,D,haskellPackages.GPipe-GLFW,x86_64-darwin
58489896,F,haskellPackages.GPipe,x86_64-darwin
58489105,D,haskellPackages.GeBoP,x86_64-darwin
58497837,D,haskellPackages.Graphalyze,x86_64-darwin
58468578,D,haskellPackages.H,x86_64-darwin
58481050,D,haskellPackages.HaskellNet-SSL,x86_64-darwin
58491949,D,haskellPackages.Hastodon,x86_64-darwin
58491378,D,haskellPackages.Hipmunk-Utils,x86_64-darwin
58488631,F,haskellPackages.Hipmunk,x86_64-darwin
58491330,D,haskellPackages.MusicBrainz,x86_64-darwin
58497327,F,haskellPackages.OpenAL,x86_64-darwin
58487173,D,haskellPackages.RNAlien,x86_64-darwin
58468962,D,haskellPackages.Redmine,x86_64-darwin
58487233,F,haskellPackages.SDL-mpeg,x86_64-darwin
58473042,D,haskellPackages.TaxonomyTools,x86_64-darwin
58493195,F,haskellPackages.Unixutils-shadow,x86_64-darwin
58493788,D,haskellPackages.VKHS,x86_64-darwin
58497350,F,haskellPackages.Wired,x86_64-darwin
58470725,F,haskellPackages.YamlReference,x86_64-darwin
58483178,F,haskellPackages.abcBridge,x86_64-darwin
58491567,D,haskellPackages.agda-snippets-hakyll,x86_64-darwin
58482712,D,haskellPackages.airtable-api,x86_64-darwin
58491429,D,haskellPackages.alerta,x86_64-darwin
58494584,D,haskellPackages.alfred,x86_64-darwin
58495667,D,haskellPackages.amazonka-apigateway,x86_64-darwin
58490688,D,haskellPackages.amazonka-application-autoscaling,x86_64-darwin
58486224,D,haskellPackages.amazonka-appstream,x86_64-darwin
58482547,D,haskellPackages.amazonka-autoscaling,x86_64-darwin
58496531,D,haskellPackages.amazonka-budgets,x86_64-darwin
58493988,D,haskellPackages.amazonka-certificatemanager,x86_64-darwin
58474746,D,haskellPackages.amazonka-cloudformation,x86_64-darwin
58479418,D,haskellPackages.amazonka-cloudfront,x86_64-darwin
58473122,D,haskellPackages.amazonka-cloudhsm,x86_64-darwin
58472483,D,haskellPackages.amazonka-cloudsearch-domains,x86_64-darwin
58475910,D,haskellPackages.amazonka-cloudsearch,x86_64-darwin
58469144,D,haskellPackages.amazonka-cloudtrail,x86_64-darwin
58479067,D,haskellPackages.amazonka-cloudwatch-events,x86_64-darwin
58493524,D,haskellPackages.amazonka-cloudwatch-logs,x86_64-darwin
58500348,D,haskellPackages.amazonka-cloudwatch,x86_64-darwin
58486585,D,haskellPackages.amazonka-codebuild,x86_64-darwin
58471437,D,haskellPackages.amazonka-codecommit,x86_64-darwin
58497446,D,haskellPackages.amazonka-codedeploy,x86_64-darwin
58468497,D,haskellPackages.amazonka-codepipeline,x86_64-darwin
58497457,D,haskellPackages.amazonka-cognito-identity,x86_64-darwin
58488201,D,haskellPackages.amazonka-cognito-idp,x86_64-darwin
58472967,D,haskellPackages.amazonka-cognito-sync,x86_64-darwin
58482943,D,haskellPackages.amazonka-config,x86_64-darwin
58479582,D,haskellPackages.amazonka-core,x86_64-darwin
58488811,D,haskellPackages.amazonka-datapipeline,x86_64-darwin
58491333,D,haskellPackages.amazonka-devicefarm,x86_64-darwin
58481947,D,haskellPackages.amazonka-directconnect,x86_64-darwin
58496699,D,haskellPackages.amazonka-discovery,x86_64-darwin
58490014,D,haskellPackages.amazonka-dms,x86_64-darwin
58477550,D,haskellPackages.amazonka-ds,x86_64-darwin
58491980,D,haskellPackages.amazonka-dynamodb-streams,x86_64-darwin
58475309,D,haskellPackages.amazonka-dynamodb,x86_64-darwin
