name,x86_64-linux,aarch64-linux,x86_64-darwin,aarch64-darwin
linuxPackages_latest.rtl8821ce,331685603,,,
linuxPackages_latest.rtl8821cu,331685604,331685605,,
linuxPackages_latest.rtl88x2bu,331685608,331685607,,
linuxPackages_latest.tsme-test,331685629,331685631,,
linuxPackages_latest.tt-kmd,331685635,331685630,,
linuxPackages_latest.virtualboxGuestAdditions,,332388227,,
linuxPackages_latest.vmm_clock,331685653,,,
linuxPackages_xanmod.lttng-modules,331586405,,,
linuxPackages_xanmod.mbp2018-bridge-drv,331586406,,,
linuxPackages_xanmod.vmm_clock,331586454,,,
linuxPackages_xanmod_latest.drbd,331670321,,,
linuxPackages_xanmod_latest.lkrg,331586515,,,
linuxPackages_xanmod_latest.lttng-modules,331586509,,,
linuxPackages_xanmod_latest.mbp2018-bridge-drv,331586511,,,
linuxPackages_xanmod_latest.tsme-test,331586552,,,
linuxPackages_xanmod_latest.vmm_clock,331586564,,,
linuxPackages_xanmod_stable.drbd,331670325,,,
linuxPackages_xanmod_stable.lkrg,331586610,,,
linuxPackages_xanmod_stable.lttng-modules,331586616,,,
linuxPackages_xanmod_stable.mbp2018-bridge-drv,331586618,,,
linuxPackages_xanmod_stable.tsme-test,331586658,,,
linuxPackages_xanmod_stable.vmm_clock,331586667,,,
linuxPackages_zen.drbd,331670324,,,
linuxPackages_zen.lkrg,331586727,,,
linuxPackages_zen.lttng-modules,331586730,,,
linuxPackages_zen.mbp2018-bridge-drv,331586729,,,
linuxPackages_zen.tsme-test,331586766,,,
linuxPackages_zen.vmm_clock,331586779,,,
linuxkit,,,329336762,329336761
live555,,,331670332,331670330
lix,,,,331702472
lixPackageSets.git.lix,,,331702512,
lixPackageSets.git.nix-serve-ng,,331702497,,331702514
lixPackageSets.latest.lix,,,331702544,
lixPackageSets.latest.nix-serve-ng,,331702561,,331702684
lixPackageSets.lix_2_94.lix,,,,331702589
lixPackageSets.lix_2_94.nil,,,331702733,
lixPackageSets.lix_2_94.nix-du,,,331702627,
lixPackageSets.lix_2_94.nix-init,,,331702622,
lixPackageSets.lix_2_94.nix-serve-ng,,331702616,331702768,
lixPackageSets.lix_2_95.lix,,,331702650,
lixPackageSets.lix_2_95.nix-serve-ng,,331702777,,331702685
lixPackageSets.stable.lix,,,,331702710
lixPackageSets.stable.nil,,,331702734,
lixPackageSets.stable.nix-du,,,331702724,
lixPackageSets.stable.nix-init,,,331702736,
lixPackageSets.stable.nix-serve-ng,,331702741,331702769,
llvmPackages_18.compiler-rt-libc,,,329337686,329337678
llvmPackages_18.compiler-rt,,,329337676,329337675
llvmPackages_22.compiler-rt-no-libc,,331653947,,
llvmPackages_22.libllvm,,,331653979,
llvmPackages_22.llvm,,,331654002,
llvm_22,,,331654032,
logdy,,,329338592,
loki,,,329338723,329338716
losslesscut,,,331536694,331536690
lrzip,,,329339045,
lttoolbox,,,329339158,329339155
lua55Packages.lua-https,329342282,329342281,329342280,329342278
macaulay2,,,331654176,
maiko,,,329344804,329344797
mame-tools,,,331391870,331391875
mame,,,331391869,331391874
maskromtool,,,329345480,329345478
mattermost-desktop,,,331536749,331536748
mayo,,,329345858,329345855
mealie,,,331704231,
mediasynclite,,,329346366,329346365
meshcentral,,331704238,,
metapixel,,,329346733,329346729
micronucleus,,,329346886,329346884
micropython,,,329346894,
migrate,329347048,329346937,,
minc_tools,331391917,331391916,,
minitube,331617164,331617165,,
mint,,,,331654213
mise,,,331754113,331754111
misskey,,,331704244,
mistral-rs,,,331654219,
mlkit,,329347577,329347578,329347576
mlt,,,331053337,331053338
mlton20130715,329347605,,,
mlton20210117,,,,329347611
mobsql,,,329347767,329347765
mono_repo,331538668,331538667,,
monotone,,,329348015,329348013
moon,329348038,329348032,329348034,329348420
moonfire-nvr,,,331510797,331510794
moosefs,,,330731330,330731328
mosml,,,329348332,329348328
motoc,,,329348367,329348352
motrix-next,331754126,,,
mp3fs,,,331085832,331085833
mpich-pmix,,,329348576,329348570
mpich,,,329348567,329348573
mplayer,,,,330703423
mrpack-install,,,329348930,329348933
mrustc-bootstrap,331522976,,,
msieve,,,,329349077
mspds,329349047,329349046,329349048,329349045
mucommander,,,329349214,329349212
multipart-parser-c,,,329349203,329349201
murmure,331754146,,331754134,
music-assistant-desktop,331754144,,,
mystmd,,,330688979,330688978
nagiosPlugins.check_interfaces,329349633,329349628,329349635,329349632
naja,,,330685682,330685680
nanobench,,,331088975,331088973
nbd,,,329349926,329349923
neohtop,331754148,,331754150,
netbird-signal,,,331702879,
netfoil,,,331531600,331531597
netperf,,,329350768,329350764
netron,,,331536786,331536784
neverest,329350866,329350864,329350865,329350863
newlib-nano,,329350888,329350886,329350884
newlib,,329350881,329350882,329350880
nexa,,330778660,,
ngadmin,,,329351032,329351029
nihstro,,,329351158,329351156
nix-scheduler-hook,331740550,331740552,,
nixpkgs-openjdk-updater,331587244,331587242,331587243,331587246
nmstate,,,329352561,329352571
nodehun,,,331627532,331627530
nodejs-slim_26,,,331666591,331666594
nodejs-slim_latest,,,331666590,331666593
notesnook,,,331424026,331424024
np2kai,,,329353013,
ntp,,,329353243,329353239
numr,,329353360,,
nushell-plugin-semver,,,,330619090
nushellPlugins.semver,,,,330619089
