name,x86_64-linux,aarch64-linux,x86_64-darwin,aarch64-darwin
irrlicht,,,328453981,328453995
jarl,,,328454346,328454343
jaspr_cli,329138390,329138389,,
jbofihe,,,328454541,328454544
jetuml,,,329217345,329217339
jextract-21,328984500,328984499,,
jextract,,,328984523,328984502
jitsi-meet-electron,,,329217350,329217346
jj-pre-push,,,329217362,329217349
jpegli,,328455093,,
jpilot,,,,329217368
jtdx,,,328969880,328969878
julia-bin,,,328455460,
julia-stable-bin,,,328455468,
julia_110,,,,328455472
julia_111,,,,328455477
julia_112-bin,,,328455489,
junkie,,,328455541,328455537
kagen,,,329217384,
kallisto,328455884,328455887,,
kanagawa-icon-theme,,,328455931,328455914
kanban,,,329138547,329138545
katex,328729728,328729726,329084145,329084143
kdePackages.mlt,,,328984706,328984704
kdePackages.qtwebengine,,,329084158,329084157
keeperrl,328950131,,,
kermit,328457485,328457481,,
kgt,,,328457612,328457619
kodiPackages.plex-for-kodi,,,328458201,328458131
komodo,328458325,328458306,328458313,328458307
kore,,,328971192,328971177
kubectl-kcl,328731458,328731451,328731452,328731448
kuro,,,329217486,329217487
ladybird,329217503,329217490,,
lakectl,,,328731812,
lakefs,,,328950388,
landrun,,328731838,,
larswm,328459281,328459272,,
lcdproc,,,328459497,
lcm,,,328459550,328459478
lean,,,328459608,328459599
lean3,,,328459611,328459609
leanPackages.proofwidgets,,,329084251,
ledfx,,,329138830,329138829
lemmy-server,,,328971302,328971312
leo-lang,,,328459827,328459845
lerna_6,,328459911,,
libagar,328950435,328950440,,
libcardiacarrest,,,328460350,328460292
libcork,,,328460436,328460429
libcue-lang,,,328732147,328732145
libcutl,,,,328460532
libdbusmenu-gtk2,,,328732194,328732183
libdjinterop,,,328460714,328460629
libe-book,,,328460768,328460748
liberal-crime-squad,,,328950455,328950457
libesmtp,,,328460791,328460789
libexecinfo,,,328460839,328460841
libffi_3_3,328460897,328460906,,
libfsm,,,328460964,328461016
libigloo,,,328461282,328461280
libinjection,,,328461331,328461328
libixion,,,328461422,328461453
libjson-rpc-cpp,329138862,329138861,,
libkiwix,,,329084285,329084284
liblastfm-vambrose,,,328461504,328461502
liblbfgs,,,,328461508
libldac-dec,,,328461529,328461571
libmspub,,,328461895,
libnixxml,,,,328971392
libopensmtpd,,,328462061,328462054
libpisp,,,328462245,328462209
libpkgmanifest,,,328909710,328909691
libpulsar,,,,328462326
libredwg,,,328462441,328462434
librepcb,328971446,328971467,,
libsForQt5.libcommuni,,,328971666,328971663
libsForQt5.mlt,,,328984959,328984956
libsForQt5.qoauth,,,328971739,328971818
libsForQt5.qtmpris,328972015,328971978,328971973,328971987
libspf2,,,328463721,328463729
libtapi,328463849,328463829,,
libucontext,,328463973,,
libui-ng,,,328463993,328464001
libui,,,328463983,328463981
libuiohook,,,328463991,
libva1,328849261,328849211,,
libxc_7,,,328464268,
lidarr,,,329084327,
linbox,,328464801,,328464800
linuxKernel.packages.linux_5_10.acer-wmi-battery,,329139161,,
linuxKernel.packages.linux_5_10.ax99100,,329139165,,
linuxKernel.packages.linux_5_10.it87,329139207,,,
linuxKernel.packages.linux_5_10.mbp2018-bridge-drv,329139223,329139222,,
linuxKernel.packages.linux_5_10.nvidia_x11_beta_open,329139243,329139241,,
linuxKernel.packages.linux_5_10.nvidia_x11_latest_open,329139245,329139244,,
linuxKernel.packages.linux_5_10.nvidia_x11_production_open,329139249,329139246,,
linuxKernel.packages.linux_5_10.nvidia_x11_stable_open,329139250,329139248,,
linuxKernel.packages.linux_5_10.nvidia_x11_vulkan_beta_open,329217623,329217624,,
linuxKernel.packages.linux_5_10.tbs,,329139354,,
linuxKernel.packages.linux_5_10.tsme-test,,329139314,,
linuxKernel.packages.linux_5_10.tuxedo-drivers,329139322,,,
linuxKernel.packages.linux_5_10.universal-pidff,329139319,329139320,,
linuxKernel.packages.linux_5_10.virtualboxGuestAdditions,,329139340,,
linuxKernel.packages.linux_5_10.xpadneo,329139339,329139334,,
linuxKernel.packages.linux_5_15.acer-wmi-battery,,329139355,,
linuxKernel.packages.linux_5_15.amneziawg,329139379,329139362,,
linuxKernel.packages.linux_5_15.ax99100,,329139450,,
linuxKernel.packages.linux_5_15.ena,329139384,329139468,,
linuxKernel.packages.linux_5_15.mbp2018-bridge-drv,329139422,329139421,,
linuxKernel.packages.linux_5_15.nvidia_x11_beta_open,329139437,329139436,,
linuxKernel.packages.linux_5_15.nvidia_x11_latest_open,329139439,329139438,,
linuxKernel.packages.linux_5_15.nvidia_x11_production_open,329139441,329139440,,
linuxKernel.packages.linux_5_15.nvidia_x11_stable_open,329139443,329139442,,
linuxKernel.packages.linux_5_15.nvidia_x11_vulkan_beta_open,329217629,329217627,,
linuxKernel.packages.linux_5_15.tbs,,329139515,,
linuxKernel.packages.linux_5_15.tsme-test,,329139514,,
linuxKernel.packages.linux_5_15.universal-pidff,329139519,329139518,,
linuxKernel.packages.linux_5_15.xpadneo,329139535,329139537,,
linuxKernel.packages.linux_6_1.acer-wmi-battery,,329139559,,
linuxKernel.packages.linux_6_1.ax99100,,329139597,,
linuxKernel.packages.linux_6_1.ena,329139583,329139582,,
linuxKernel.packages.linux_6_1.mba6x_bl,329139625,329139624,,
linuxKernel.packages.linux_6_1.mbp2018-bridge-drv,329139627,329139626,,
linuxKernel.packages.linux_6_1.morse-driver,329139633,329139631,,
linuxKernel.packages.linux_6_1.tbs,,329139720,,
linuxKernel.packages.linux_6_1.tsme-test,,329139721,,
linuxKernel.packages.linux_6_1.universal-pidff,,329139725,,
linuxKernel.packages.linux_6_12.acer-wmi-battery,,329139764,,
linuxKernel.packages.linux_6_12.mbp2018-bridge-drv,329139831,329139830,,
linuxKernel.packages.linux_6_12.tbs,,329139929,,
linuxKernel.packages.linux_6_12.tsme-test,,329139930,,
linuxKernel.packages.linux_6_18.acer-wmi-battery,,329140023,,
linuxKernel.packages.linux_6_18.lttng-modules,329140047,329140046,,
linuxKernel.packages.linux_6_18.mbp2018-bridge-drv,329140049,329140048,,
linuxKernel.packages.linux_6_18.msi-ec,,329140058,,
linuxKernel.packages.linux_6_18.tsme-test,,329140126,,
linuxKernel.packages.linux_6_18.vmm_clock,329140146,,,
linuxKernel.packages.linux_6_6.acer-wmi-battery,,329140176,,
linuxKernel.packages.linux_6_6.ax99100,,329140179,,
linuxKernel.packages.linux_6_6.mba6x_bl,329140253,329140252,,
linuxKernel.packages.linux_6_6.mbp2018-bridge-drv,329140262,329140261,,
linuxKernel.packages.linux_6_6.tbs,329140349,329140348,,
linuxKernel.packages.linux_6_6.tsme-test,,329140350,,
linuxKernel.packages.linux_6_6.universal-pidff,,329140356,,
linuxKernel.packages.linux_7_0.acer-wmi-battery,,329140401,,
linuxKernel.packages.linux_7_0.drbd,329140436,329140457,,
linuxKernel.packages.linux_7_0.facetimehd,329140428,,,
linuxKernel.packages.linux_7_0.lkrg,329140467,329140466,,
linuxKernel.packages.linux_7_0.lttng-modules,329140469,329140468,,
linuxKernel.packages.linux_7_0.mbp2018-bridge-drv,329140471,329140470,,
linuxKernel.packages.linux_7_0.msi-ec,,329140478,,
linuxKernel.packages.linux_7_0.tsme-test,329140547,329140546,,
linuxKernel.packages.linux_7_0.vhba,329140563,329140561,,
linuxKernel.packages.linux_7_0.vmm_clock,329140566,,,
linuxKernel.packages.linux_xanmod.lttng-modules,329217689,,,
linuxKernel.packages.linux_xanmod.mbp2018-bridge-drv,329217717,,,
linuxKernel.packages.linux_xanmod.vmm_clock,329217869,,,
linuxKernel.packages.linux_xanmod_latest.drbd,329217800,,,
linuxKernel.packages.linux_xanmod_latest.facetimehd,329217787,,,
linuxKernel.packages.linux_xanmod_latest.lkrg,329217819,,,
linuxKernel.packages.linux_xanmod_latest.lttng-modules,329217805,,,
linuxKernel.packages.linux_xanmod_latest.mbp2018-bridge-drv,329217811,,,
linuxKernel.packages.linux_xanmod_latest.tsme-test,329217876,,,
linuxKernel.packages.linux_xanmod_latest.vhba,329217860,,,
linuxKernel.packages.linux_xanmod_latest.vmm_clock,329217864,,,
linuxKernel.packages.linux_xanmod_stable.drbd,329217935,,,
linuxKernel.packages.linux_xanmod_stable.facetimehd,329217902,,,
linuxKernel.packages.linux_xanmod_stable.lkrg,329217924,,,
linuxKernel.packages.linux_xanmod_stable.lttng-modules,329217925,,,
linuxKernel.packages.linux_xanmod_stable.mbp2018-bridge-drv,329217928,,,
linuxKernel.packages.linux_xanmod_stable.tsme-test,329217970,,,
linuxKernel.packages.linux_xanmod_stable.vhba,329217981,,,
linuxKernel.packages.linux_xanmod_stable.vmm_clock,329217983,,,
linuxKernel.packages.linux_zen.drbd,329140979,,,
linuxKernel.packages.linux_zen.facetimehd,329140982,,,
linuxKernel.packages.linux_zen.lkrg,329141006,,,
linuxKernel.packages.linux_zen.lttng-modules,329141007,,,
linuxKernel.packages.linux_zen.mbp2018-bridge-drv,329141010,,,
linuxKernel.packages.linux_zen.openrazer,329141025,,,
linuxKernel.packages.linux_zen.tsme-test,329141052,,,
linuxKernel.packages.linux_zen.vhba,329141063,,,
linuxKernel.packages.linux_zen.vmm_clock,329141068,,,
linuxPackages.acer-wmi-battery,,329141078,,
